pH,TDS,Turbidity,Temperature,Skin_Risk,Is_Potable
6.43,942,15.62,30.6,Bacterial / Fungal Infection Risk,0
10.18,202,2.06,39.6,Eczema / Skin Barrier Damage,0
8.76,309,1.61,19.8,Eczema / Skin Barrier Damage,0
7.89,671,7.29,15.2,Safe (No Skin Risk),0
5.01,945,1.93,36.7,Acidic Irritant Contact Dermatitis,0
5.01,244,11.74,17.1,Acidic Irritant Contact Dermatitis,0
4.38,621,4.6,26.2,Acidic Irritant Contact Dermatitis,0
9.63,880,17.92,33.3,Eczema / Skin Barrier Damage,0
7.91,635,15.69,21.4,Bacterial / Fungal Infection Risk,0
8.6,289,14.02,17.3,Eczema / Skin Barrier Damage,0
4.13,914,12.38,35.8,Acidic Irritant Contact Dermatitis,0
10.3,235,17.28,32.0,Eczema / Skin Barrier Damage,0
9.41,729,4.54,41.7,Eczema / Skin Barrier Damage,0
5.38,1133,17.47,24.3,Acidic Irritant Contact Dermatitis,0
5.18,678,15.81,16.7,Acidic Irritant Contact Dermatitis,0
5.19,711,14.99,34.8,Acidic Irritant Contact Dermatitis,0
5.98,983,11.27,29.1,Bacterial / Fungal Infection Risk,0
7.41,238,5.0,20.8,Safe (No Skin Risk),1
6.81,531,8.53,36.1,Safe (No Skin Risk),0
5.89,935,15.89,20.5,Bacterial / Fungal Infection Risk,0
7.98,181,0.73,22.0,Safe (No Skin Risk),1
4.91,204,15.66,17.5,Acidic Irritant Contact Dermatitis,0
5.9,353,4.88,25.8,Safe (No Skin Risk),0
6.38,60,2.97,26.3,Safe (No Skin Risk),0
6.96,1145,2.4,28.9,Safe (No Skin Risk),0
9.1,1194,0.64,34.1,Eczema / Skin Barrier Damage,0
5.3,1023,10.52,39.5,Acidic Irritant Contact Dermatitis,0
7.34,344,4.44,18.7,Safe (No Skin Risk),1
7.85,410,19.79,16.5,Bacterial / Fungal Infection Risk,0
4.3,892,11.53,15.5,Acidic Irritant Contact Dermatitis,0
7.95,423,2.84,18.9,Safe (No Skin Risk),1
5.11,484,13.81,32.8,Acidic Irritant Contact Dermatitis,0
4.42,464,17.97,34.6,Acidic Irritant Contact Dermatitis,0
10.17,200,14.93,36.2,Eczema / Skin Barrier Damage,0
10.28,668,1.62,21.6,Eczema / Skin Barrier Damage,0
9.25,934,17.93,23.3,Eczema / Skin Barrier Damage,0
5.98,529,15.9,28.0,Bacterial / Fungal Infection Risk,0
4.63,1056,3.25,16.7,Acidic Irritant Contact Dermatitis,0
8.45,366,1.13,31.5,Safe (No Skin Risk),1
6.86,637,11.19,41.6,Pseudomonas Folliculitis (Hot Tub Rash),0
4.79,1054,3.21,24.7,Acidic Irritant Contact Dermatitis,0
7.22,328,16.71,35.3,Pseudomonas Folliculitis (Hot Tub Rash),0
4.22,632,7.23,28.5,Acidic Irritant Contact Dermatitis,0
9.91,612,18.27,18.5,Eczema / Skin Barrier Damage,0
5.68,67,11.36,30.7,Bacterial / Fungal Infection Risk,0
8.31,993,3.74,23.1,Severe Xerosis (Dry Skin Risk),0
6.03,82,2.88,15.9,Safe (No Skin Risk),0
7.38,462,11.57,32.1,Pseudomonas Folliculitis (Hot Tub Rash),0
7.55,216,15.26,38.2,Pseudomonas Folliculitis (Hot Tub Rash),0
5.2,568,15.65,24.3,Acidic Irritant Contact Dermatitis,0
10.3,1005,5.59,25.5,Eczema / Skin Barrier Damage,0
9.04,237,4.16,39.1,Eczema / Skin Barrier Damage,0
10.11,649,0.43,37.0,Eczema / Skin Barrier Damage,0
9.82,881,13.62,34.3,Eczema / Skin Barrier Damage,0
7.89,892,1.62,21.7,Safe (No Skin Risk),0
9.99,61,8.47,39.6,Eczema / Skin Barrier Damage,0
4.58,1175,12.07,19.2,Acidic Irritant Contact Dermatitis,0
5.27,1120,18.75,31.9,Acidic Irritant Contact Dermatitis,0
4.29,1129,6.3,15.8,Acidic Irritant Contact Dermatitis,0
6.11,881,5.07,32.4,Safe (No Skin Risk),0
6.53,137,13.12,22.5,Bacterial / Fungal Infection Risk,0
5.76,474,12.42,27.1,Bacterial / Fungal Infection Risk,0
9.39,676,6.71,24.3,Eczema / Skin Barrier Damage,0
6.32,1149,18.57,19.7,Bacterial / Fungal Infection Risk,0
5.83,627,16.91,31.8,Bacterial / Fungal Infection Risk,0
7.53,383,4.56,38.8,Safe (No Skin Risk),1
4.92,610,4.86,40.9,Acidic Irritant Contact Dermatitis,0
9.21,650,10.29,20.2,Eczema / Skin Barrier Damage,0
4.48,282,15.49,34.4,Acidic Irritant Contact Dermatitis,0
10.41,600,0.98,32.9,Eczema / Skin Barrier Damage,0
9.02,999,13.9,24.3,Eczema / Skin Barrier Damage,0
5.29,71,13.0,15.5,Acidic Irritant Contact Dermatitis,0
4.04,430,4.71,33.6,Acidic Irritant Contact Dermatitis,0
9.3,316,13.66,40.5,Eczema / Skin Barrier Damage,0
8.59,571,18.81,32.1,Eczema / Skin Barrier Damage,0
8.74,422,1.03,26.8,Eczema / Skin Barrier Damage,0
9.01,1131,6.46,29.2,Eczema / Skin Barrier Damage,0
4.48,923,8.82,20.4,Acidic Irritant Contact Dermatitis,0
6.33,253,18.0,35.3,Pseudomonas Folliculitis (Hot Tub Rash),0
4.75,415,19.25,35.2,Acidic Irritant Contact Dermatitis,0
9.61,783,8.94,18.9,Eczema / Skin Barrier Damage,0
8.05,252,15.03,38.7,Pseudomonas Folliculitis (Hot Tub Rash),0
6.15,118,10.68,22.3,Bacterial / Fungal Infection Risk,0
4.41,667,10.8,41.5,Acidic Irritant Contact Dermatitis,0
6.02,643,5.63,25.3,Safe (No Skin Risk),0
6.11,821,4.42,19.8,Safe (No Skin Risk),0
8.74,1040,5.83,24.5,Eczema / Skin Barrier Damage,0
8.14,719,11.17,26.9,Severe Xerosis (Dry Skin Risk),0
9.77,97,0.68,16.9,Eczema / Skin Barrier Damage,0
7.07,1089,18.15,30.6,Bacterial / Fungal Infection Risk,0
4.78,920,3.21,31.1,Acidic Irritant Contact Dermatitis,0
8.64,486,4.48,35.0,Eczema / Skin Barrier Damage,0
8.95,105,10.41,15.8,Eczema / Skin Barrier Damage,0
7.65,1107,14.23,29.6,Bacterial / Fungal Infection Risk,0
9.01,1160,2.01,16.4,Eczema / Skin Barrier Damage,0
7.21,1051,6.42,33.9,Safe (No Skin Risk),0
7.4,266,19.38,16.5,Bacterial / Fungal Infection Risk,0
6.78,813,5.32,39.6,Safe (No Skin Risk),0
4.17,718,6.33,34.0,Acidic Irritant Contact Dermatitis,0
4.7,640,16.75,28.7,Acidic Irritant Contact Dermatitis,0
4.2,418,1.1,26.9,Acidic Irritant Contact Dermatitis,0
8.14,748,9.35,18.5,Severe Xerosis (Dry Skin Risk),0
6.04,346,7.65,22.9,Safe (No Skin Risk),0
7.31,818,6.4,38.5,Safe (No Skin Risk),0
9.9,543,5.79,39.4,Eczema / Skin Barrier Damage,0
5.62,307,1.92,15.0,Safe (No Skin Risk),0
6.67,47,6.37,31.0,Safe (No Skin Risk),0
8.91,547,0.96,34.4,Eczema / Skin Barrier Damage,0
5.49,515,15.64,31.7,Acidic Irritant Contact Dermatitis,0
4.5,203,8.02,17.2,Acidic Irritant Contact Dermatitis,0
5.88,524,8.93,20.9,Safe (No Skin Risk),0
5.05,1135,17.88,21.8,Acidic Irritant Contact Dermatitis,0
10.04,606,13.2,37.5,Eczema / Skin Barrier Damage,0
9.25,944,0.26,27.5,Eczema / Skin Barrier Damage,0
8.12,598,18.87,28.1,Bacterial / Fungal Infection Risk,0
9.66,277,4.82,40.2,Eczema / Skin Barrier Damage,0
9.22,1167,2.24,32.2,Eczema / Skin Barrier Damage,0
5.21,593,15.39,39.3,Acidic Irritant Contact Dermatitis,0
9.8,867,10.06,27.3,Eczema / Skin Barrier Damage,0
7.51,507,8.73,19.0,Safe (No Skin Risk),0
9.25,425,5.07,40.1,Eczema / Skin Barrier Damage,0
9.82,814,10.99,27.4,Eczema / Skin Barrier Damage,0
6.07,887,5.56,19.9,Safe (No Skin Risk),0
4.72,426,18.04,23.2,Acidic Irritant Contact Dermatitis,0
5.48,916,4.38,16.4,Acidic Irritant Contact Dermatitis,0
6.78,298,17.7,27.6,Bacterial / Fungal Infection Risk,0
9.32,322,11.23,38.0,Eczema / Skin Barrier Damage,0
9.59,79,16.59,40.2,Eczema / Skin Barrier Damage,0
4.05,525,14.29,40.2,Acidic Irritant Contact Dermatitis,0
7.32,968,13.96,18.4,Bacterial / Fungal Infection Risk,0
6.71,259,6.55,25.3,Safe (No Skin Risk),0
5.44,1192,4.75,15.8,Acidic Irritant Contact Dermatitis,0
4.78,1054,4.3,38.1,Acidic Irritant Contact Dermatitis,0
6.19,1063,17.16,24.7,Bacterial / Fungal Infection Risk,0
10.13,652,16.43,32.0,Eczema / Skin Barrier Damage,0
6.1,967,8.87,34.3,Safe (No Skin Risk),0
7.37,727,2.73,26.6,Safe (No Skin Risk),0
8.57,652,7.71,23.3,Eczema / Skin Barrier Damage,0
6.36,299,12.42,41.0,Pseudomonas Folliculitis (Hot Tub Rash),0
10.32,1029,9.14,41.0,Eczema / Skin Barrier Damage,0
10.26,1005,15.63,22.8,Eczema / Skin Barrier Damage,0
5.64,405,19.95,27.9,Bacterial / Fungal Infection Risk,0
7.23,583,3.9,41.3,Safe (No Skin Risk),0
5.96,688,9.25,15.1,Safe (No Skin Risk),0
5.85,853,8.68,26.1,Safe (No Skin Risk),0
4.24,1079,6.16,17.7,Acidic Irritant Contact Dermatitis,0
7.96,1192,4.04,28.7,Safe (No Skin Risk),0
7.27,614,1.41,15.7,Safe (No Skin Risk),0
4.33,1172,17.75,26.0,Acidic Irritant Contact Dermatitis,0
5.81,1052,8.45,21.0,Safe (No Skin Risk),0
9.9,709,9.99,29.4,Eczema / Skin Barrier Damage,0
5.56,308,18.35,41.9,Pseudomonas Folliculitis (Hot Tub Rash),0
4.94,963,15.55,36.6,Acidic Irritant Contact Dermatitis,0
7.18,1165,2.7,37.8,Safe (No Skin Risk),0
10.41,286,11.35,32.2,Eczema / Skin Barrier Damage,0
5.57,170,8.9,16.1,Safe (No Skin Risk),0
8.37,392,15.96,20.6,Bacterial / Fungal Infection Risk,0
8.95,235,14.51,40.0,Eczema / Skin Barrier Damage,0
5.54,969,13.84,24.9,Bacterial / Fungal Infection Risk,0
8.73,1061,6.88,17.8,Eczema / Skin Barrier Damage,0
6.39,684,16.12,34.0,Pseudomonas Folliculitis (Hot Tub Rash),0
8.11,266,1.14,23.1,Safe (No Skin Risk),1
8.12,740,3.28,22.3,Severe Xerosis (Dry Skin Risk),0
7.48,304,6.78,41.9,Safe (No Skin Risk),0
4.59,685,1.63,38.2,Acidic Irritant Contact Dermatitis,0
9.43,250,4.78,26.0,Eczema / Skin Barrier Damage,0
6.09,982,16.62,41.5,Pseudomonas Folliculitis (Hot Tub Rash),0
5.21,496,18.97,32.6,Acidic Irritant Contact Dermatitis,0
4.27,764,6.16,35.0,Acidic Irritant Contact Dermatitis,0
7.84,1021,5.36,15.9,Safe (No Skin Risk),0
8.4,1194,5.67,18.3,Severe Xerosis (Dry Skin Risk),0
4.11,627,5.63,32.1,Acidic Irritant Contact Dermatitis,0
7.33,515,0.82,39.3,Safe (No Skin Risk),0
5.47,1025,18.55,31.8,Acidic Irritant Contact Dermatitis,0
8.19,195,4.35,18.6,Safe (No Skin Risk),1
5.13,229,8.46,18.1,Acidic Irritant Contact Dermatitis,0
8.49,1020,0.29,37.8,Severe Xerosis (Dry Skin Risk),0
6.51,585,17.17,18.8,Bacterial / Fungal Infection Risk,0
10.09,80,14.65,29.0,Eczema / Skin Barrier Damage,0
4.89,346,18.94,16.0,Acidic Irritant Contact Dermatitis,0
6.22,982,15.65,17.2,Bacterial / Fungal Infection Risk,0
4.74,377,6.34,33.2,Acidic Irritant Contact Dermatitis,0
10.01,1138,5.03,33.6,Eczema / Skin Barrier Damage,0
9.7,992,13.98,24.2,Eczema / Skin Barrier Damage,0
